problem,method,best,mean,median,std,worst,succ_rate,mean_ett,mean_wall,finals,obj_mean,obj_best,feas_rate,cfg_best
Sphere,HH-UCB,0.00022404032650304482,0.006407876565215132,0.003483454309391896,0.008634344935442064,0.0434477553991464,0.0,-1,0.18512346744537353,"[0.011352, 0.005322, 0.011426, 0.004037, 0.001213, 0.003159, 0.007206, 0.000224, 0.002347, 0.00287, 0.001319, 0.007028, 0.011638, 0.000838, 0.010456, 0.003227, 0.000663, 0.004627, 0.005596, 0.000539, 0.043448, 0.001331, 0.000538, 0.000659, 0.015891, 0.001089, 0.003959, 0.023301, 0.00374, 0.003192]",,,,
Sphere,HH-Random,0.00024455972775625455,0.003023545602953996,0.0021436621839363277,0.0032024593930183114,0.017206744992487047,0.0,-1,0.1550780216852824,"[0.005668, 0.005026, 0.000469, 0.0021, 0.000245, 0.001183, 0.002043, 0.006643, 0.017207, 0.004432, 0.005244, 0.005682, 0.001359, 0.004254, 0.002187, 0.00035, 0.000744, 0.003537, 0.001137, 0.001125, 0.002467, 0.002271, 0.000993, 0.002683, 0.000263, 0.00307, 0.00445, 0.001132, 0.000924, 0.001819]",,,,
Sphere,DE,1.4134521539785597e-07,9.61208156969011e-06,5.900942060372068e-06,9.008097327001048e-06,3.480837429875739e-05,0.1,4846.333333333333,0.203347913424174,"[1e-06, 5e-06, 2.7e-05, 6e-06, 6e-06, 2e-06, 2.1e-05, 1.2e-05, 6e-06, 3e-05, 1e-05, 2e-06, 3e-06, 3.5e-05, 0.0, 1.3e-05, 2.1e-05, 2.1e-05, 5e-06, 5e-06, 6e-06, 8e-06, 1e-06, 1e-05, 1e-05, 6e-06, 1e-06, 8e-06, 4e-06, 5e-06]",,,,
Sphere,CMA-ES,1.6282243267773523e-33,6.098237812271838e-32,3.4540274147314797e-32,9.396366544367282e-32,4.664506369128929e-31,1.0,1132.6,0.10153739452362061,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,,,
Sphere,LLH:SA,0.013294994526133279,0.037412118949226476,0.03763093362797745,0.01514921538186292,0.07636493515319752,0.0,-1,0.08547813097635905,"[0.036684, 0.051567, 0.046241, 0.0216, 0.020788, 0.049007, 0.027934, 0.038578, 0.049018, 0.013295, 0.023347, 0.030621, 0.047344, 0.021155, 0.022669, 0.02366, 0.04157, 0.029612, 0.02667, 0.053099, 0.047295, 0.049335, 0.049883, 0.042818, 0.021287, 0.030852, 0.048658, 0.015293, 0.076365, 0.06612]",,,,
Sphere,LLH:Tabu,0.09698723078235963,0.19840400954894438,0.202815005254508,0.05641069475735809,0.3267654711661859,0.0,-1,0.11027233600616455,"[0.223436, 0.110435, 0.130709, 0.187546, 0.295448, 0.186702, 0.12933, 0.226655, 0.256061, 0.141426, 0.247754, 0.214999, 0.234565, 0.145702, 0.276947, 0.15526, 0.189456, 0.191163, 0.117316, 0.156674, 0.231128, 0.204262, 0.253466, 0.201368, 0.326765, 0.214549, 0.213098, 0.251398, 0.096987, 0.141516]",,,,
Sphere,LLH:VNS,0.00021875420627508234,0.0015850394147480578,0.0014275682238147707,0.0011153884858921637,0.004511279682829267,0.0,-1,0.15350650946299235,"[0.000437, 0.004511, 0.0039, 0.001345, 0.0005, 0.000453, 0.002042, 0.000649, 0.000329, 0.000219, 0.001478, 0.000512, 0.002104, 0.001642, 0.001931, 0.000492, 0.002054, 0.003193, 0.001531, 0.002632, 0.001173, 0.001377, 0.0017, 0.003722, 0.002555, 0.000515, 0.000934, 0.000894, 0.001866, 0.000861]",,,,
Sphere,LLH:LNS,0.6235486851245104,1.4317620939389275,1.439031848684752,0.4936713668576535,2.557841548015529,0.0,-1,0.23240747451782226,"[1.234679, 1.48611, 1.152491, 1.231922, 0.906853, 1.53573, 1.587263, 1.652387, 2.261877, 1.194919, 1.57055, 0.623549, 1.469691, 0.635139, 2.376128, 1.960095, 1.727639, 0.67078, 1.03738, 2.14204, 1.24179, 1.416887, 1.934667, 0.910676, 0.932374, 1.102324, 1.461177, 1.628216, 1.309689, 2.557842]",,,,
Sphere,LLH:DE/rand/1,1.4191419251624661e-12,0.052731070739115586,7.427057111431292e-06,0.23424824069540465,1.3041401120964675,0.43333333333333335,2839.076923076923,0.25163020292917887,"[0.001272, 0.000401, 1.30414, 0.0, 3e-06, 0.0, 0.001004, 0.0, 8e-06, 0.0, 0.162728, 0.0, 0.024074, 0.004358, 0.015155, 0.0, 0.023519, 0.002747, 0.0, 0.0, 0.0, 0.008389, 0.0, 0.0, 0.0, 7e-06, 0.005261, 0.028854, 0.0, 1.1e-05]",,,,
Sphere,LLH:DE/best/1,8.489829038202316e-09,0.001186962858468732,2.06927177968701e-06,0.005139035677326951,0.028257455199406634,0.36666666666666664,4327.727272727273,0.2575442632039388,"[0.0, 1e-05, 3e-06, 0.005908, 1.1e-05, 2e-06, 2e-06, 1.1e-05, 0.000115, 0.0, 3e-06, 2e-06, 1e-06, 0.0, 1e-06, 2.8e-05, 0.0, 3e-06, 0.0, 1e-06, 0.0, 4e-06, 0.000181, 0.0, 0.0, 1e-06, 0.028257, 0.0, 2e-06, 0.001061]",,,,
